Start Time,Duration,Run ID,Name,Source Type,Source Name,User,Status,C,activation,algorithm,alpha,average,batch_size,beta_1,beta_2,bootstrap,break_ties,cache_size,ccp_alpha,class_weight,coef0,criterion,decision_function_shape,degree,dual,early_stopping,epsilon,eta0,fit_intercept,gamma,hidden_layer_sizes,init,intercept_scaling,kernel,l1_ratio,leaf_size,learning_rate,learning_rate_init,loss,max_depth,max_features,max_fun,max_iter,max_leaf_nodes,max_samples,metric,metric_params,min_impurity_decrease,min_samples_leaf,min_samples_split,min_weight_fraction_leaf,momentum,multi_class,n_estimators,n_iter_no_change,n_jobs,n_neighbors,nesterovs_momentum,oob_score,p,penalty,power_t,priors,probability,random_state,shrinking,shuffle,solver,subsample,tol,validation_fraction,var_smoothing,verbose,warm_start,weights,AUC,Accuracy,F1-score,Kappa,MCC,val_Accuracy,val_F1-score,Dataset ID,Dataset Type,model,Run ID,USI,model run id,model run name
2023-04-12 13:41:16,,7f981a2534ae47ae80ccac7f581cc7c5,SD0Q1_1-Multilayer Perceptron,LOCAL,C:\Users\flore\miniconda3\envs\master\lib\site-packages\ipykernel_launcher.py,flore,RUNNING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SD0Q1_1,synthetic,mlp,7f981a2534ae47ae80ccac7f581cc7c5,b2ba,,
2023-04-12 13:37:33,3.7min,65d8174c4ad44f44a51fd49c330d5234,SD0Q1_1-SVM-RBF,LOCAL,C:\Users\flore\miniconda3\envs\master\lib\site-packages\ipykernel_launcher.py,flore,FINISHED,22.25283391983819,,,,,,,,,False,200,,None,0.0,,ovr,3,,,,,,auto,,,,rbf,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,True,2969,True,,,,0.001,,,False,,,0.5,0.3489583333333333,0.25868725868725867,0,0,0.627,0.7605,SD0Q1_1,synthetic,rbfsvm,65d8174c4ad44f44a51fd49c330d5234,b2ba,,
2023-04-12 13:33:50,3.7min,f16f4edecca14e3584a1d0dc4c6b7096,SD0Q1_1-SVM,LOCAL,C:\Users\flore\miniconda3\envs\master\lib\site-packages\ipykernel_launcher.py,flore,FINISHED,,,,2.8220635145855285e-06,False,,,,,,,,None,,,,,,False,0.1,0.05872727034345086,True,,,,,,0.12828281334905173,,constant,,hinge,,,,1000,,,,,,,,,,,,5,-1,,,,,l2,0.5,,,2969,,True,,,0.001,0.1,,0,False,,,0.6419270833333334,0.397781028391545,-0.013552424463469936,-0.04227056134392484,0.6255,0.7643,SD0Q1_1,synthetic,svm,f16f4edecca14e3584a1d0dc4c6b7096,b2ba,,
2023-04-12 13:30:00,3.8min,da4d70b5e3594c00977a9395228bb57b,SD0Q1_1-Naive Bayes,LOCAL,C:\Users\flore\miniconda3\envs\master\lib\site-packages\ipykernel_launcher.py,flore,FINISHED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,1e-09,,,,0.5,0.6510416666666666,0.3943217665615142,0,0,0.6206,0.762,SD0Q1_1,synthetic,nb,da4d70b5e3594c00977a9395228bb57b,b2ba,,
2023-04-12 13:26:11,3.8min,2acbf2554d4b40748a4e740b0920bc18,SD0Q1_1-K-Nearest Neighbor,LOCAL,C:\Users\flore\miniconda3\envs\master\lib\site-packages\ipykernel_launcher.py,flore,FINISHED,,,auto,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,euclidean,None,,,,,,,,,-1,24,,,2,,,,,,,,,,,,,,,uniform,0.49232462686567163,0.6497395833333334,0.3938437253354381,-0.002601234615832393,-0.0264353285799833,0.6367,0.7603,SD0Q1_1,synthetic,knn,2acbf2554d4b40748a4e740b0920bc18,b2ba,,
2023-04-12 13:22:21,3.8min,68d9c5615d1e4e2cb413f8eff0ad9563,SD0Q1_1-Logistic Regression,LOCAL,C:\Users\flore\miniconda3\envs\master\lib\site-packages\ipykernel_launcher.py,flore,FINISHED,1.0,,,,,,,,,,,,None,,,,,False,,,,True,,,,1,,None,,,,,,,,1000,,,,,,,,,,auto,,,None,,,,,l2,,,,2969,,,lbfgs,,0.0001,,,0,False,,0.5,0.6419270833333334,0.397781028391545,-0.013552424463469936,-0.04227056134392484,0.6238,0.764,SD0Q1_1,synthetic,lr,68d9c5615d1e4e2cb413f8eff0ad9563,b2ba,,
2023-04-12 13:22:21,,e147ee526c124af380a3d30666887d58,SD0Q1_1-models,LOCAL,C:\Users\flore\miniconda3\envs\master\lib\site-packages\ipykernel_launcher.py,flore,RUNNING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SD0Q1_1,synthetic,,e147ee526c124af380a3d30666887d58,b2ba,,
2023-04-12 13:18:28,3.8min,4267aeb559a74d8b9a069185a0512315,SD0Q1_0-Gradient Boosting Classifier,LOCAL,C:\Users\flore\miniconda3\envs\master\lib\site-packages\ipykernel_launcher.py,flore,FINISHED,,,,,,,,,,,,0.0,,,friedman_mse,,,,,,,,,,None,,,,,0.1,,log_loss,3,None,,,None,,,,0.0,1,2,0.0,,,100,None,,,,,,,,,,2010,,,,1.0,0.0001,0.1,,0,False,,0.5288171641791045,0.45703125,0.43864274158067534,-0.10594800674089022,-0.10932567183153559,0.6695,0.7856,SD0Q1_0,synthetic,gbc,4267aeb559a74d8b9a069185a0512315,662e,,
2023-04-12 13:14:26,4.0min,15e54201d54244a3837ab48fc11771f8,SD0Q1_0-Random Forest,LOCAL,C:\Users\flore\miniconda3\envs\master\lib\site-packages\ipykernel_launcher.py,flore,FINISHED,,,,,,,,,True,,,0.0,None,,gini,,,,,,,,,,,,,,,,,,None,sqrt,,,None,None,,,0.0,1,2,0.0,,,100,,-1,,,False,,,,,,2010,,,,,,,,0,False,,0.5893917910447761,0.4869791666666667,0.4364342067033695,-0.12712318970141245,-0.12712527043159177,0.6661,0.7805,SD0Q1_0,synthetic,rf,15e54201d54244a3837ab48fc11771f8,662e,,
2023-04-12 13:10:38,3.8min,b7e155f722fb46ed904596df6bd1bc03,SD0Q1_0-Multilayer Perceptron,LOCAL,C:\Users\flore\miniconda3\envs\master\lib\site-packages\ipykernel_launcher.py,flore,FINISHED,,tanh,,0.004133422087713631,,auto,0.9,0.999,,,,,,,,,,,False,1e-08,,,,"[62, 95, 100]",,,,,,constant,0.001,,,,15000,500,,,,,,,,,0.9,,,10,,,True,,,,0.5,,,2010,,True,adam,,0.0001,0.1,,False,False,,0.4851380597014925,0.5338541666666666,0.5325862256555326,0.12030306132896496,0.13644297368146877,0.6759,0.7861,SD0Q1_0,synthetic,mlp,b7e155f722fb46ed904596df6bd1bc03,662e,,
